         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,29003e+001  2,10000e+001  9,99999e-001  1,45000e+000  7,05026e+001  1,64916e-001  1,12500e+000  3,69941e+002  2,50000e+001  6,93372e+003  1,16227e+003  7,03046e+003  1,67626e-001  1,40281e-004  2,35148e-005  1,42238e-004
             1  2,29804e+001  3,90000e+001  6,00000e+000  4,36278e-001  9,72554e+000  2,70499e-001  1,36719e+000  3,96743e+002  2,50000e+001  1,49055e+004  4,19069e+003  1,54834e+004  2,81151e-001  6,21747e-005  1,74804e-005  6,45853e-005
             2  2,29098e+001  5,70000e+001  1,10000e+001  5,25012e-001  8,01365e+000  2,83769e-001  1,42834e+000  4,10933e+002  2,50000e+001  2,18576e+004  6,49467e+003  2,28021e+004  2,97136e-001  4,20391e-005  1,24913e-005  4,38556e-005
             3  2,28967e+001  6,00000e+001  1,60000e+001  1,00000e+000  1,75272e+001  1,58156e-001  1,47988e+000  4,22886e+002  2,50000e+001  1,95545e+004  3,11449e+003  1,98010e+004  1,59273e-001  4,98740e-005  7,94355e-006  5,05026e-005
             4  2,28476e+001  8,00000e+001  2,10000e+001  9,94771e-001  1,73595e+001  1,60146e-001  1,81188e+000  4,27403e+002  2,50000e+001  1,96380e+004  3,14373e+003  1,98881e+004  1,60084e-001  4,96492e-005  7,94802e-006  5,02814e-005
             5  2,28281e+001  8,30000e+001  2,60000e+001  1,00641e+000  1,74269e+001  1,63771e-001  2,12869e+000  4,33498e+002  2,50000e+001  1,97844e+004  3,21749e+003  2,00443e+004  1,62628e-001  4,92426e-005  8,00822e-006  4,98895e-005
             6  2,28630e+001  1,02000e+002  3,10000e+001  9,89866e-001  1,71778e+001  1,64365e-001  2,41258e+000  4,39242e+002  2,50000e+001  1,97397e+004  3,19679e+003  1,99969e+004  1,61947e-001  4,93645e-005  7,99442e-006  5,00077e-005
             7  2,28606e+001  1,05000e+002  3,60000e+001  1,00734e+000  1,73343e+001  1,71282e-001  2,69092e+000  4,44862e+002  2,50000e+001  1,98881e+004  3,34045e+003  2,01667e+004  1,67962e-001  4,89016e-005  8,21361e-006  4,95866e-005
             8  2,30254e+001  1,25000e+002  4,10000e+001  1,01544e+000  1,72152e+001  1,72201e-001  2,97595e+000  4,50382e+002  2,50000e+001  2,01913e+004  3,38595e+003  2,04732e+004  1,67694e-001  4,81717e-005  8,07808e-006  4,88443e-005
             9  2,31021e+001  1,28000e+002  4,60000e+001  1,04184e+000  1,71887e+001  1,58004e-001  3,23958e+000  4,55503e+002  2,50000e+001  2,08117e+004  3,15468e+003  2,10494e+004  1,51582e-001  4,69707e-005  7,11993e-006  4,75073e-005
            10  2,30725e+001  1,47000e+002  5,10000e+001  1,04656e+000  1,64948e+001  1,48682e-001  3,50877e+000  4,60596e+002  2,50000e+001  2,18415e+004  3,07304e+003  2,20566e+004  1,40697e-001  4,48958e-005  6,31672e-006  4,53379e-005
            11  2,30364e+001  1,50000e+002  5,60000e+001  1,06482e+000  1,62727e+001  1,95943e-001  3,76776e+000  4,65365e+002  2,50000e+001  2,23587e+004  4,23505e+003  2,27563e+004  1,89414e-001  4,31762e-005  8,17816e-006  4,39439e-005
            12  2,29482e+001  1,68000e+002  6,10000e+001  7,03575e-001  9,94524e+000  2,27735e-001  4,03304e+000  4,70116e+002  2,50000e+001  2,40569e+004  5,35643e+003  2,46460e+004  2,22657e-001  3,96047e-005  8,81827e-006  4,05746e-005
            13  2,29069e+001  1,73000e+002  6,60000e+001  1,16701e+000  1,49566e+001  4,00369e-001  4,28823e+000  4,74630e+002  2,50000e+001  2,50977e+004  1,05113e+004  2,72100e+004  4,18817e-001  3,38983e-005  1,41972e-005  3,67513e-005
            14  2,28047e+001  1,94000e+002  7,10000e+001  2,29057e-001  2,46952e+000  4,87415e-001  4,54871e+000  4,79214e+002  2,50000e+001  2,86862e+004  1,52265e+004  3,24768e+004  5,30794e-001  2,71973e-005  1,44362e-005  3,07912e-005
            15  2,27723e+001  1,98000e+002  7,60000e+001  1,33867e+000  1,26551e+001  7,29066e-001  4,79848e+000  4,83605e+002  2,50000e+001  2,73060e+004  2,49308e+004  3,69752e+004  9,13016e-001  1,99727e-005  1,82354e-005  2,70452e-005
            16  2,30850e+001  2,19000e+002  8,10000e+001  2,01227e-001  1,73554e+000  5,32114e-001  5,05779e+000  4,88185e+002  2,50000e+001  3,51349e+004  2,09067e+004  4,08846e+004  5,95042e-001  2,10193e-005  1,25074e-005  2,44591e-005
            17  2,31295e+001  2,22000e+002  8,60000e+001  1,55193e+000  1,18418e+001  8,32165e-001  5,31173e+000  4,92678e+002  2,50000e+001  3,02631e+004  3,45827e+004  4,59545e+004  1,14274e+000  1,43303e-005  1,63758e-005  2,17607e-005
            18  2,31139e+001  2,43000e+002  9,10000e+001  1,90000e-001  1,32809e+000  5,25850e-001  5,56378e+000  4,97261e+002  2,50000e+001  4,38513e+004  2,59066e+004  5,09322e+004  5,90783e-001  1,69043e-005  9,98679e-006  1,96339e-005
            19  2,30952e+001  2,48000e+002  9,60000e+001  1,78796e+000  1,32215e+001  2,97110e-001  5,81053e+000  5,01997e+002  2,50000e+001  4,62342e+004  1,37695e+004  4,82410e+004  2,97820e-001  1,98669e-005  5,91676e-006  2,07292e-005
            20  2,29551e+001  2,69000e+002  1,01000e+002  1,65000e-001  1,27216e-001  1,97008e-001  6,02245e+000  5,06356e+002  2,50000e+001  8,52822e+005  3,26373e+005  9,13140e+005  3,82697e-001  1,02278e-006  3,91417e-007  1,09512e-006
CFRP_f1_100_5_1N, 17.04.2021 15:10:37
