         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,11704e+001  2,00000e+001  9,99999e-001  1,50000e-002  9,98464e+001  1,82013e-002  5,00000e-003  1,89967e+002  2,50000e+001  3,23613e+003  5,81006e+001  3,23665e+003  1,79537e-002  3,08911e-004  5,54610e-006  3,08961e-004
             1  2,11683e+001  3,90000e+001  6,00000e+000  1,40297e-002  4,38729e+001  2,89757e-002  3,46875e-002  2,88199e+002  2,50000e+001  6,88733e+003  1,89441e+002  6,88994e+003  2,75057e-002  1,45084e-004  3,99065e-006  1,45139e-004
             2  2,11770e+001  5,70000e+001  1,10000e+001  4,28760e-002  1,05516e+002  3,04587e-002  4,75859e-002  3,28226e+002  2,50000e+001  8,75173e+003  2,42920e+002  8,75510e+003  2,77568e-002  1,14175e-004  3,16913e-006  1,14219e-004
             3  2,11928e+001  6,70000e+001  1,60000e+001  4,39817e-002  1,03295e+002  2,36043e-002  5,25698e-002  3,40066e+002  2,50000e+001  9,17171e+003  1,80343e+002  9,17348e+003  1,96630e-002  1,08989e-004  2,14305e-006  1,09010e-004
             4  2,11944e+001  7,00000e+001  2,10000e+001  4,43478e-002  1,01940e+002  1,85305e-002  5,59273e-002  3,49669e+002  2,50000e+001  9,37117e+003  1,25132e+002  9,37200e+003  1,33529e-002  1,06691e-004  1,42464e-006  1,06701e-004
             5  2,11959e+001  8,10000e+001  2,60000e+001  4,50714e-002  9,99993e+001  2,25102e-002  6,10764e-002  3,65971e+002  2,50000e+001  9,70755e+003  1,56296e+002  9,70881e+003  1,61004e-002  1,02986e-004  1,65812e-006  1,02999e-004
             6  2,12015e+001  8,40000e+001  3,10000e+001  4,50968e-002  1,00153e+002  2,38467e-002  6,43056e-002  3,75592e+002  2,50000e+001  9,69683e+003  1,57124e+002  9,69811e+003  1,62037e-002  1,03099e-004  1,67059e-006  1,03113e-004
             7  2,12649e+001  9,60000e+001  3,60000e+001  4,44536e-002  1,00898e+002  1,98492e-002  6,50000e-002  3,76251e+002  2,50000e+001  9,48708e+003  1,04082e+002  9,48765e+003  1,09709e-002  1,05394e-004  1,15627e-006  1,05400e-004
             8  2,12884e+001  9,90000e+001  4,10000e+001  4,45190e-002  1,03686e+002  5,81630e-003  6,50000e-002  3,75283e+002  2,50000e+001  9,24436e+003 -3,97377e+001  9,24445e+003 -4,29859e-003  1,08172e-004 -4,64987e-007  1,08173e-004
             9  2,13449e+001  1,09000e+002  4,60000e+001  3,92303e-002  9,46321e+001 -8,77350e-003  6,50000e-002  3,74659e+002  2,50000e+001  8,92197e+003 -1,79572e+002  8,92378e+003 -2,01270e-002  1,12037e-004 -2,25498e-006  1,12060e-004
            10  2,13347e+001  1,14000e+002  5,10000e+001  3,98815e-002  1,00166e+002 -2,66191e-002  6,50000e-002  3,74748e+002  2,50000e+001  8,56212e+003 -3,35858e+002  8,56871e+003 -3,92261e-002  1,16614e-004 -4,57431e-006  1,16704e-004
            11  2,13282e+001  1,26000e+002  5,60000e+001  3,90032e-002  1,02427e+002 -3,99045e-002  6,50000e-002  3,74965e+002  2,50000e+001  8,18116e+003 -4,39966e+002  8,19298e+003 -5,37780e-002  1,21880e-004 -6,55444e-006  1,22056e-004
            12  2,13147e+001  1,29000e+002  6,10000e+001  3,81164e-002  1,04762e+002 -4,54450e-002  6,50000e-002  3,74959e+002  2,50000e+001  7,81172e+003 -4,73185e+002  7,82603e+003 -6,05738e-002  1,27545e-004 -7,72588e-006  1,27779e-004
            13  2,12890e+001  1,42000e+002  6,60000e+001  3,48124e-002  1,00118e+002 -3,54574e-002  6,50000e-002  3,74679e+002  2,50000e+001  7,46697e+003 -3,86706e+002  7,47698e+003 -5,17889e-002  1,33565e-004 -6,91718e-006  1,33744e-004
            14  2,12279e+001  1,56000e+002  7,10000e+001  3,16952e-002  9,48575e+001 -2,31338e-002  6,50000e-002  3,73998e+002  2,50000e+001  7,17671e+003 -2,91887e+002  7,18264e+003 -4,06714e-002  1,39110e-004 -5,65778e-006  1,39225e-004
            15  2,12627e+001  1,66000e+002  7,60000e+001  3,11901e-002  9,71806e+001  4,29085e-003  6,50000e-002  3,73489e+002  2,50000e+001  6,89610e+003 -9,96699e+001  6,89682e+003 -1,44531e-002  1,44979e-004 -2,09540e-006  1,44994e-004
            16  2,13121e+001  1,71000e+002  8,10000e+001  3,03446e-002  9,80841e+001  1,51667e-002  6,50000e-002  3,73386e+002  2,50000e+001  6,64553e+003 -3,19404e+001  6,64561e+003 -4,80629e-003  1,50474e-004 -7,23220e-007  1,50475e-004
            17  2,12512e+001  1,87000e+002  8,60000e+001  2,99370e-002  9,92218e+001  5,54626e-003  6,50000e-002  3,73174e+002  2,50000e+001  6,47784e+003 -1,01448e+002  6,47863e+003 -1,56607e-002  1,54335e-004 -2,41699e-006  1,54354e-004
            18  2,12823e+001  2,02000e+002  9,10000e+001  2,98893e-002  9,97619e+001 -2,17734e-002  6,50000e-002  3,72994e+002  2,50000e+001  6,42438e+003 -2,84232e+002  6,43066e+003 -4,42427e-002  1,55353e-004 -6,87324e-006  1,55505e-004
            19  2,12360e+001  2,16000e+002  9,60000e+001  2,50000e-002  9,95324e+001 -1,46666e-001  6,50000e-002  3,72973e+002  2,50000e+001  5,31066e+003 -9,13530e+002  5,38866e+003 -1,72018e-001  1,82889e-004 -3,14602e-005  1,85575e-004
            20  2,12412e+001  2,20000e+002  1,01000e+002  2,50162e-002  9,99848e+001 -1,68844e-001  6,50000e-002  3,74425e+002  2,50000e+001  5,26490e+003 -1,03309e+003  5,36530e+003 -1,96223e-001  1,82895e-004 -3,58881e-005  1,86383e-004
cfrp_f1_100_5_1N, 21.04.2021 14:31:05
