         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,12800e+001  2,10000e+001  9,99999e-001  1,50000e-002  9,93112e+001  1,25426e-002  5,00000e-003  1,89556e+002  2,50000e+001  3,25385e+003  4,00006e+001  3,25410e+003  1,22933e-002  3,07282e-004  3,77750e-006  3,07305e-004
             1  2,14025e+001  3,90000e+001  6,00000e+000  1,40361e-002  4,38400e+001  2,60753e-002  3,46875e-002  2,83185e+002  2,50000e+001  6,89617e+003  1,69666e+002  6,89826e+003  2,46029e-002  1,44920e-004  3,56546e-006  1,44964e-004
             2  2,13116e+001  5,70000e+001  1,10000e+001  4,29099e-002  1,05633e+002  2,83916e-002  4,75859e-002  3,18789e+002  2,50000e+001  8,74940e+003  2,24753e+002  8,75228e+003  2,56878e-002  1,14218e-004  2,93401e-006  1,14256e-004
             3  2,13270e+001  6,80000e+001  1,60000e+001  4,34221e-002  1,04334e+002  2,03509e-002  5,25698e-002  3,34107e+002  2,50000e+001  8,96534e+003  1,47101e+002  8,96654e+003  1,64078e-002  1,11511e-004  1,82964e-006  1,11526e-004
             4  2,13473e+001  7,10000e+001  2,10000e+001  4,45302e-002  1,01979e+002  1,22843e-002  5,59273e-002  3,43637e+002  2,50000e+001  9,40679e+003  6,68333e+001  9,40702e+003  7,10479e-003  1,06301e-004  7,55246e-007  1,06304e-004
             5  2,13468e+001  8,30000e+001  2,60000e+001  4,48311e-002  1,00271e+002  6,20771e-003  6,10764e-002  3,60251e+002  2,50000e+001  9,63089e+003 -1,99149e+000  9,63089e+003 -2,06781e-004  1,03833e-004 -2,14706e-008  1,03833e-004
             6  2,13401e+001  8,60000e+001  3,10000e+001  4,25052e-002  9,45197e+001  7,91277e-003  6,43056e-002  3,70496e+002  2,50000e+001  9,68555e+003  2,56746e+000  9,68555e+003  2,65082e-004  1,03247e-004  2,73688e-008  1,03247e-004
             7  2,13810e+001  9,30000e+001  3,60000e+001  4,49523e-002  9,98537e+001  1,16069e-002  6,50000e-002  3,73491e+002  2,50000e+001  9,69447e+003  2,64323e+001  9,69450e+003  2,72653e-003  1,03151e-004  2,81244e-007  1,03151e-004
             8  2,13921e+001  9,80000e+001  4,10000e+001  4,50605e-002  1,00046e+002  1,55937e-002  6,50000e-002  3,75428e+002  2,50000e+001  9,69725e+003  5,31492e+001  9,69740e+003  5,48085e-003  1,03119e-004  5,65179e-007  1,03120e-004
             9  2,13851e+001  1,10000e+002  4,60000e+001  4,00000e-002  9,83776e+001 -7,35100e-005  6,50000e-002  3,78182e+002  2,50000e+001  8,75185e+003 -9,99732e+001  8,75242e+003 -1,14231e-002  1,14247e-004 -1,30505e-006  1,14254e-004
            10  2,13695e+001  1,13000e+002  5,10000e+001  4,00901e-002  9,95510e+001 -1,69101e-002  6,50000e-002  3,77726e+002  2,50000e+001  8,66301e+003 -2,55592e+002  8,66678e+003 -2,95039e-002  1,15333e-004 -3,40277e-006  1,15383e-004
            11  2,12859e+001  1,25000e+002  5,60000e+001  3,95114e-002  1,01235e+002 -6,60308e-002  6,50000e-002  3,76240e+002  2,50000e+001  8,37068e+003 -6,69886e+002  8,39744e+003 -8,00276e-002  1,18704e-004 -9,49962e-006  1,19084e-004
            12  2,12722e+001  1,29000e+002  6,10000e+001  3,78657e-002  1,05358e+002 -7,96436e-002  6,50000e-002  3,75719e+002  2,50000e+001  7,69593e+003 -7,31021e+002  7,73057e+003 -9,49880e-002  1,28777e-004 -1,22323e-005  1,29357e-004
            13  2,12167e+001  1,40000e+002  6,60000e+001  3,48309e-002  1,00403e+002 -4,52387e-002  6,50000e-002  3,75458e+002  2,50000e+001  7,44559e+003 -4,58672e+002  7,45970e+003 -6,16032e-002  1,33800e-004 -8,24251e-006  1,34054e-004
            14  2,12104e+001  1,52000e+002  7,10000e+001  3,16936e-002  9,46307e+001 -2,56461e-002  6,50000e-002  3,74749e+002  2,50000e+001  7,19280e+003 -3,10647e+002  7,19950e+003 -4,31885e-002  1,38769e-004 -5,99324e-006  1,38898e-004
