         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,13559e+001  2,00000e+001  9,99999e-001  2,00000e-002  9,93323e+001  8,07261e-003  5,00000e-003  1,81809e+002  2,50000e+001  4,33785e+003  3,39340e+001  4,33798e+003  7,82278e-003  2,30515e-004  1,80327e-006  2,30522e-004
             1  2,12998e+001  3,90000e+001  6,00000e+000  1,53615e-002  4,37828e+001  2,13419e-002  3,46875e-002  2,76086e+002  2,50000e+001  7,55815e+003  1,50155e+002  7,55964e+003  1,98667e-002  1,32255e-004  2,62748e-006  1,32281e-004
             2  2,12600e+001  5,70000e+001  1,10000e+001  4,34510e-002  1,04016e+002  2,62342e-002  4,75859e-002  3,12347e+002  2,50000e+001  8,99800e+003  2,11712e+002  9,00050e+003  2,35288e-002  1,11074e-004  2,61344e-006  1,11105e-004
             3  2,12669e+001  6,60000e+001  1,60000e+001  4,42608e-002  1,02429e+002  1,70224e-002  5,25698e-002  3,25421e+002  2,50000e+001  9,30893e+003  1,21743e+002  9,30972e+003  1,30781e-002  1,07405e-004  1,40466e-006  1,07415e-004
             4  2,12693e+001  7,10000e+001  2,10000e+001  4,46074e-002  1,01382e+002  1,11522e-003  5,59273e-002  3,34844e+002  2,50000e+001  9,47876e+003 -3,85473e+001  9,47884e+003 -4,06670e-003  1,05497e-004 -4,29026e-007  1,05498e-004
             5  2,12728e+001  8,30000e+001  2,60000e+001  4,50873e-002  9,99648e+001  4,45388e-003  6,10764e-002  3,49634e+002  2,50000e+001  9,71556e+003 -1,90520e+001  9,71558e+003 -1,96098e-003  1,02927e-004 -2,01838e-007  1,02927e-004
             6  2,12741e+001  8,60000e+001  3,10000e+001  4,51686e-002  9,99769e+001  7,10740e-003  6,43056e-002  3,58518e+002  2,50000e+001  9,73066e+003 -5,25898e+000  9,73066e+003 -5,40455e-004  1,02768e-004 -5,55414e-008  1,02768e-004
             7  2,12754e+001  9,80000e+001  3,60000e+001  4,45804e-002  1,00508e+002  9,11713e-003  6,50000e-002  3,59898e+002  2,50000e+001  9,55166e+003  2,25650e+000  9,55166e+003  2,36242e-004  1,04694e-004  2,47331e-008  1,04694e-004
             8  2,12856e+001  1,01000e+002  4,10000e+001  4,41416e-002  1,02131e+002  2,60964e-003  6,50000e-002  3,60122e+002  2,50000e+001  9,30536e+003 -6,98461e+001  9,30562e+003 -7,50600e-003  1,07459e-004 -8,06587e-007  1,07462e-004
             9  2,12767e+001  1,13000e+002  4,60000e+001  4,48043e-002  1,07314e+002 -5,14959e-003  6,50000e-002  3,60289e+002  2,50000e+001  8,98606e+003 -1,48281e+002  8,98728e+003 -1,65012e-002  1,11253e-004 -1,83581e-006  1,11268e-004
            10  2,12791e+001  1,16000e+002  5,10000e+001  4,38110e-002  1,09198e+002 -2,25313e-002  6,50000e-002  3,60406e+002  2,50000e+001  8,62909e+003 -3,03157e+002  8,63441e+003 -3,51319e-002  1,15744e-004 -4,06632e-006  1,15816e-004
            11  2,12595e+001  1,28000e+002  5,60000e+001  3,92319e-002  1,02253e+002 -3,84947e-002  6,50000e-002  3,60648e+002  2,50000e+001  8,24373e+003 -4,31674e+002  8,25502e+003 -5,23640e-002  1,20973e-004 -6,33461e-006  1,21138e-004
            12  2,12519e+001  1,31000e+002  6,10000e+001  3,82410e-002  1,04424e+002 -4,79272e-002  6,50000e-002  3,61052e+002  2,50000e+001  7,86141e+003 -4,95787e+002  7,87703e+003 -6,30659e-002  1,26700e-004 -7,99043e-006  1,26951e-004
            13  2,12580e+001  1,44000e+002  6,60000e+001  3,49641e-002  1,00052e+002 -3,59176e-002  6,50000e-002  3,61472e+002  2,50000e+001  7,50429e+003 -3,92102e+002  7,51452e+003 -5,22504e-002  1,32894e-004 -6,94379e-006  1,33076e-004
            14  2,12504e+001  1,53000e+002  7,10000e+001  3,15437e-002  9,45406e+001 -1,44864e-002  6,50000e-002  3,62413e+002  2,50000e+001  7,16860e+003 -2,29476e+002  7,17228e+003 -3,20112e-002  1,39354e-004 -4,46090e-006  1,39426e-004
            15  2,12572e+001  1,64000e+002  7,60000e+001  3,08992e-002  9,75618e+001  7,58088e-003  6,50000e-002  3,63747e+002  2,50000e+001  6,80537e+003 -7,59616e+001  6,80579e+003 -1,11620e-002  1,46924e-004 -1,63997e-006  1,46934e-004
            16  2,12796e+001  1,68000e+002  8,10000e+001  3,00538e-002  9,95359e+001  2,26465e-002  6,50000e-002  3,65252e+002  2,50000e+001  6,48589e+003  1,73467e+001  6,48591e+003  2,67452e-003  1,54180e-004  4,12357e-007  1,54180e-004
            17  2,12924e+001  1,80000e+002  8,60000e+001  2,94390e-002  1,01592e+002  1,06602e-002  6,50000e-002  3,66638e+002  2,50000e+001  6,22184e+003 -6,56100e+001  6,22218e+003 -1,05451e-002  1,60706e-004 -1,69467e-006  1,60715e-004
            18  2,12739e+001  1,92000e+002  9,10000e+001  2,89086e-002  1,03497e+002 -5,19348e-002  6,50000e-002  3,68685e+002  2,50000e+001  5,97856e+003 -4,45499e+002  5,99513e+003 -7,45161e-002  1,66341e-004 -1,23951e-005  1,66802e-004
            19  2,12970e+001  2,03000e+002  9,60000e+001  2,58399e-002  9,63016e+001 -1,18141e-001  6,50000e-002  3,71440e+002  2,50000e+001  5,69881e+003 -8,13689e+002  5,75661e+003 -1,42782e-001  1,71969e-004 -2,45542e-005  1,73713e-004
            20  2,13033e+001  2,07000e+002  1,01000e+002  2,00000e-002  9,99636e+001 -2,30566e-001  6,50000e-002  3,74377e+002  2,50000e+001  4,15101e+003 -1,08421e+003  4,29027e+003 -2,61192e-001  2,25520e-004 -5,89040e-005  2,33086e-004
cfrp_f1_100_5_1N, 21.04.2021 14:17:25
