         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,22774e+001  2,00000e+001  9,99999e-001  4,65000e-001  4,72896e+001  4,43022e-002  3,00000e-001  2,00681e+002  2,50000e+001  5,59787e+003  2,47348e+002  5,60333e+003  4,41862e-002  1,78291e-004  7,87801e-006  1,78465e-004
             1  2,20417e+001  3,90000e+001  6,00000e+000  2,59923e-001  1,41656e+001  3,24738e-002  6,15625e-001  2,34566e+002  2,50000e+001  1,04727e+004  3,26146e+002  1,04778e+004  3,11424e-002  9,53938e-005  2,97079e-006  9,54400e-005
             2  2,20032e+001  5,70000e+001  1,10000e+001  2,85417e-001  1,25954e+001  2,95438e-002  8,50719e-001  2,58065e+002  2,50000e+001  1,29482e+004  3,49412e+002  1,29529e+004  2,69854e-002  7,71747e-005  2,08259e-006  7,72028e-005
             3  2,19436e+001  6,20000e+001  1,60000e+001  9,87741e-001  4,20253e+001  3,27501e-002  1,02839e+000  2,70412e+002  2,50000e+001  1,34311e+004  3,89192e+002  1,34368e+004  2,89769e-002  7,43914e-005  2,15563e-006  7,44226e-005
             4  2,19408e+001  7,50000e+001  2,10000e+001  2,96295e-001  1,23012e+001  2,84748e-002  1,13470e+000  2,77929e+002  2,50000e+001  1,37672e+004  3,22646e+002  1,37710e+004  2,34358e-002  7,25965e-005  1,70136e-006  7,26164e-005
             5  2,19912e+001  7,80000e+001  2,60000e+001  1,00213e+000  4,04339e+001  2,84288e-002  1,24667e+000  2,87382e+002  2,50000e+001  1,41674e+004  3,13835e+002  1,41708e+004  2,21520e-002  7,05502e-005  1,56283e-006  7,05675e-005
             6  2,20103e+001  8,90000e+001  3,10000e+001  1,01121e+000  4,04601e+001  2,95953e-002  1,33851e+000  2,94874e+002  2,50000e+001  1,42853e+004  3,15503e+002  1,42888e+004  2,20859e-002  6,99680e-005  1,54531e-006  6,99851e-005
             7  2,19819e+001  9,20000e+001  3,60000e+001  1,00231e+000  4,04631e+001  3,07805e-002  1,40490e+000  2,98559e+002  2,50000e+001  1,41555e+004  3,11937e+002  1,41590e+004  2,20364e-002  7,06094e-005  1,55597e-006  7,06265e-005
             8  2,19227e+001  9,90000e+001  4,10000e+001  1,00735e+000  4,08326e+001  3,17599e-002  1,45611e+000  3,00355e+002  2,50000e+001  1,40951e+004  3,06998e+002  1,40985e+004  2,17804e-002  7,09128e-005  1,54451e-006  7,09296e-005
             9  2,19060e+001  1,02000e+002  4,60000e+001  1,01124e+000  4,11019e+001  3,29074e-002  1,47304e+000  3,00974e+002  2,50000e+001  1,40538e+004  3,04884e+002  1,40571e+004  2,16940e-002  7,11216e-005  1,54291e-006  7,11384e-005
            10  2,18525e+001  1,10000e+002  5,10000e+001  9,65182e-001  3,92656e+001  3,39259e-002  1,47397e+000  3,01035e+002  2,50000e+001  1,40379e+004  3,01509e+002  1,40411e+004  2,14782e-002  7,12029e-005  1,52931e-006  7,12193e-005
