         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,24448e+001  2,10000e+001  9,99999e-001  3,90000e-001  5,41318e+001  4,87410e-002  2,05000e-001  2,11201e+002  2,50000e+001  4,09807e+003  1,99223e+002  4,10291e+003  4,86140e-002  2,43442e-004  1,18347e-005  2,43730e-004
             1  2,23798e+001  3,90000e+001  6,00000e+000  2,55439e-001  1,49440e+001  4,56575e-002  5,28438e-001  2,39630e+002  2,50000e+001  9,74802e+003  4,32722e+002  9,75762e+003  4,43907e-002  1,02383e-004  4,54487e-006  1,02484e-004
             2  2,23300e+001  5,70000e+001  1,10000e+001  2,80687e-001  1,28119e+001  3,24606e-002  9,02758e-001  2,67997e+002  2,50000e+001  1,25151e+004  3,74391e+002  1,25207e+004  2,99152e-002  7,98322e-005  2,38820e-006  7,98680e-005
             3  2,23674e+001  8,00000e+001  1,60000e+001  9,95028e-001  4,27813e+001  2,72210e-002  1,06537e+000  2,78624e+002  2,50000e+001  1,32923e+004  3,11181e+002  1,32959e+004  2,34106e-002  7,51904e-005  1,76025e-006  7,52110e-005
             4  2,23565e+001  8,40000e+001  2,10000e+001  9,80223e-001  4,09926e+001  2,57194e-002  1,16763e+000  2,84941e+002  2,50000e+001  1,36677e+004  2,82402e+002  1,36707e+004  2,06619e-002  7,31337e-005  1,51108e-006  7,31493e-005
             5  2,23698e+001  9,20000e+001  2,60000e+001  6,96083e-001  2,77111e+001  2,60996e-002  1,28768e+000  2,93294e+002  2,50000e+001  1,43606e+004  2,84473e+002  1,43635e+004  1,98092e-002  6,96074e-005  1,37887e-006  6,96211e-005
             6  2,23587e+001  9,50000e+001  3,10000e+001  1,01235e+000  3,97855e+001  2,63967e-002  1,38704e+000  2,99856e+002  2,50000e+001  1,45465e+004  2,74468e+002  1,45491e+004  1,88683e-002  6,87208e-005  1,29665e-006  6,87330e-005
             7  2,23291e+001  1,05000e+002  3,60000e+001  1,01092e+000  4,01797e+001  2,78802e-002  1,45149e+000  3,03742e+002  2,50000e+001  1,43801e+004  2,74933e+002  1,43828e+004  1,91189e-002  6,95150e-005  1,32905e-006  6,95277e-005
             8  2,23272e+001  1,08000e+002  4,10000e+001  1,00449e+000  4,01342e+001  2,94315e-002  1,47154e+000  3,04473e+002  2,50000e+001  1,43018e+004  2,78006e+002  1,43045e+004  1,94386e-002  6,98951e-005  1,35866e-006  6,99083e-005
             9  2,23109e+001  1,14000e+002  4,60000e+001  1,04169e+000  4,17792e+001  3,05909e-002  1,47479e+000  3,04043e+002  2,50000e+001  1,42442e+004  2,75826e+002  1,42469e+004  1,93641e-002  7,01778e-005  1,35893e-006  7,01909e-005
            10  2,23054e+001  1,19000e+002  5,10000e+001  9,94171e-001  3,99518e+001  3,15280e-002  1,47695e+000  3,03840e+002  2,50000e+001  1,42129e+004  2,70988e+002  1,42155e+004  1,90663e-002  7,03329e-005  1,34099e-006  7,03456e-005
            11  2,22963e+001  1,26000e+002  5,60000e+001  9,95024e-001  3,99966e+001  3,24341e-002  1,47702e+000  3,03692e+002  2,50000e+001  1,42057e+004  2,66181e+002  1,42082e+004  1,87376e-002  7,03695e-005  1,31855e-006  7,03818e-005
            12  2,22863e+001  1,31000e+002  6,10000e+001  1,00035e+000  4,01939e+001  3,36052e-002  1,47595e+000  3,03771e+002  2,50000e+001  1,42079e+004  2,65344e+002  1,42103e+004  1,86758e-002  7,03590e-005  1,31401e-006  7,03713e-005
            13  2,22763e+001  1,43000e+002  6,60000e+001  9,98190e-001  4,00828e+001  3,49619e-002  1,47596e+000  3,04003e+002  2,50000e+001  1,42123e+004  2,67208e+002  1,42148e+004  1,88012e-002  7,03368e-005  1,32242e-006  7,03492e-005
            14  2,23952e+001  1,53000e+002  7,10000e+001  1,00995e+000  4,05260e+001  3,65355e-002  1,47798e+000  3,04284e+002  2,50000e+001  1,42178e+004  2,72201e+002  1,42204e+004  1,91450e-002  7,03084e-005  1,34605e-006  7,03213e-005
            15  2,24542e+001  1,64000e+002  7,60000e+001  1,01462e+000  4,06765e+001  3,81393e-002  1,47958e+000  3,04499e+002  2,50000e+001  1,42259e+004  2,77684e+002  1,42286e+004  1,95196e-002  7,02675e-005  1,37159e-006  7,02809e-005
            16  2,24796e+001  1,68000e+002  8,10000e+001  9,95694e-001  3,98681e+001  3,98244e-002  1,48053e+000  3,04687e+002  2,50000e+001  1,42384e+004  2,84428e+002  1,42412e+004  1,99762e-002  7,02047e-005  1,40242e-006  7,02187e-005
            17  2,25857e+001  1,79000e+002  8,60000e+001  1,04111e+000  4,16449e+001  4,11714e-002  1,48155e+000  3,04909e+002  2,50000e+001  1,42471e+004  2,86264e+002  1,42500e+004  2,00928e-002  7,01614e-005  1,40974e-006  7,01755e-005
            18  2,26144e+001  1,91000e+002  9,10000e+001  1,01606e+000  4,05998e+001  4,22910e-002  1,48314e+000  3,05140e+002  2,50000e+001  1,42565e+004  2,84857e+002  1,42594e+004  1,99808e-002  7,01153e-005  1,40096e-006  7,01293e-005
            19  2,25470e+001  1,98000e+002  9,60000e+001  9,93795e-001  3,96626e+001  4,33130e-002  1,48632e+000  3,05435e+002  2,50000e+001  1,42675e+004  2,82082e+002  1,42703e+004  1,97709e-002  7,00619e-005  1,38519e-006  7,00756e-005
            20  2,24881e+001  2,09000e+002  1,01000e+002  9,84978e-001  3,92600e+001  4,41868e-002  1,49031e+000  3,05641e+002  2,50000e+001  1,42796e+004  2,77199e+002  1,42823e+004  1,94122e-002  7,00035e-005  1,35892e-006  7,00166e-005
cfrp_f1_1-100-5Hz_1N, 18.04.2021 19:14:42
