         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,22979e+001  2,00000e+001  9,99999e-001  4,35000e-001  5,10234e+001  4,97432e-002  2,55000e-001  2,13865e+002  2,50000e+001  4,85070e+003  2,40772e+002  4,85668e+003  4,96364e-002  2,05649e-004  1,02077e-005  2,05902e-004
             1  2,22572e+001  3,80000e+001  6,00000e+000  2,54695e-001  1,46084e+001  3,74522e-002  5,69062e-001  2,40586e+002  2,50000e+001  9,94703e+003  3,59493e+002  9,95352e+003  3,61407e-002  1,00401e-004  3,62858e-006  1,00467e-004
             2  2,21831e+001  5,60000e+001  1,10000e+001  2,83810e-001  1,27735e+001  3,15350e-002  9,30102e-001  2,67471e+002  2,50000e+001  1,26937e+004  3,67941e+002  1,26991e+004  2,89861e-002  7,87129e-005  2,28158e-006  7,87460e-005
             3  2,21324e+001  7,60000e+001  1,60000e+001  9,99002e-001  4,27127e+001  2,75995e-002  1,07687e+000  2,79589e+002  2,50000e+001  1,33671e+004  3,18033e+002  1,33709e+004  2,37922e-002  7,47681e-005  1,77889e-006  7,47893e-005
             4  2,21285e+001  8,00000e+001  2,10000e+001  9,85014e-001  4,10019e+001  2,66099e-002  1,17015e+000  2,86018e+002  2,50000e+001  1,37315e+004  2,96033e+002  1,37347e+004  2,15586e-002  7,27912e-005  1,56928e-006  7,28081e-005
             5  2,23411e+001  8,80000e+001  2,60000e+001  1,00473e+000  4,01325e+001  2,64497e-002  1,28554e+000  2,94248e+002  2,50000e+001  1,43122e+004  2,88550e+002  1,43151e+004  2,01612e-002  6,98422e-005  1,40810e-006  6,98564e-005
             6  2,23809e+001  9,10000e+001  3,10000e+001  1,00867e+000  3,98726e+001  2,72920e-002  1,37961e+000  3,00817e+002  2,50000e+001  1,44611e+004  2,85881e+002  1,44639e+004  1,97689e-002  6,91240e-005  1,36651e-006  6,91375e-005
             7  2,23187e+001  9,80000e+001  3,60000e+001  7,11504e-001  2,83989e+001  2,88581e-002  1,43924e+000  3,04826e+002  2,50000e+001  1,43188e+004  2,87848e+002  1,43217e+004  2,01028e-002  6,98101e-005  1,40338e-006  6,98242e-005
             8  2,22894e+001  1,03000e+002  4,10000e+001  1,00824e+000  4,04296e+001  3,04786e-002  1,45557e+000  3,05917e+002  2,50000e+001  1,42496e+004  2,92006e+002  1,42526e+004  2,04922e-002  7,01477e-005  1,43748e-006  7,01624e-005
             9  2,22883e+001  1,10000e+002  4,60000e+001  1,03651e+000  4,17058e+001  3,16743e-002  1,45576e+000  3,05785e+002  2,50000e+001  1,41977e+004  2,90403e+002  1,42007e+004  2,04542e-002  7,04042e-005  1,44006e-006  7,04190e-005
            10  2,23463e+001  1,15000e+002  5,10000e+001  9,95762e-001  4,01453e+001  3,25725e-002  1,45726e+000  3,05416e+002  2,50000e+001  1,41665e+004  2,84989e+002  1,41694e+004  2,01171e-002  7,05606e-005  1,41948e-006  7,05749e-005
            11  2,23272e+001  1,22000e+002  5,60000e+001  1,00561e+000  4,05668e+001  3,32784e-002  1,45867e+000  3,04967e+002  2,50000e+001  1,41545e+004  2,77243e+002  1,41572e+004  1,95869e-002  7,06218e-005  1,38326e-006  7,06353e-005
            12  2,23022e+001  1,31000e+002  6,10000e+001  1,01425e+000  4,09088e+001  3,41385e-002  1,45938e+000  3,04814e+002  2,50000e+001  1,41530e+004  2,71911e+002  1,41557e+004  1,92122e-002  7,06301e-005  1,35696e-006  7,06431e-005
            13  2,22750e+001  1,37000e+002  6,60000e+001  9,96966e-001  4,01899e+001  3,53437e-002  1,45986e+000  3,04921e+002  2,50000e+001  1,41566e+004  2,71594e+002  1,41592e+004  1,91850e-002  7,06126e-005  1,35471e-006  7,06256e-005
            14  2,22652e+001  1,46000e+002  7,10000e+001  1,03603e+000  4,17283e+001  3,68237e-002  1,45973e+000  3,05299e+002  2,50000e+001  1,41644e+004  2,75280e+002  1,41671e+004  1,94347e-002  7,05730e-005  1,37156e-006  7,05863e-005
            15  2,22479e+001  1,55000e+002  7,60000e+001  1,01637e+000  4,08862e+001  3,84540e-002  1,45927e+000  3,05651e+002  2,50000e+001  1,41770e+004  2,81212e+002  1,41797e+004  1,98359e-002  7,05093e-005  1,39861e-006  7,05231e-005
            16  2,22257e+001  1,64000e+002  8,10000e+001  1,00335e+000  4,02979e+001  4,00998e-002  1,46041e+000  3,05956e+002  2,50000e+001  1,41945e+004  2,87483e+002  1,41975e+004  2,02531e-002  7,04207e-005  1,42624e-006  7,04352e-005
            17  2,22781e+001  1,69000e+002  8,60000e+001  1,02050e+000  4,09369e+001  4,16798e-002  1,46218e+000  3,06184e+002  2,50000e+001  1,42062e+004  2,92706e+002  1,42092e+004  2,06041e-002  7,03620e-005  1,44975e-006  7,03770e-005
            18  2,23126e+001  1,84000e+002  9,10000e+001  1,00478e+000  4,02458e+001  4,32024e-002  1,46401e+000  3,06488e+002  2,50000e+001  1,42217e+004  2,97204e+002  1,42248e+004  2,08979e-002  7,02842e-005  1,46879e-006  7,02995e-005
            19  2,22492e+001  2,02000e+002  9,60000e+001  1,01362e+000  4,05322e+001  4,44112e-002  1,46646e+000  3,06967e+002  2,50000e+001  1,42394e+004  2,97263e+002  1,42425e+004  2,08761e-002  7,01971e-005  1,46544e-006  7,02124e-005
            20  2,22463e+001  2,11000e+002  1,01000e+002  1,00054e+000  3,99643e+001  4,50890e-002  1,46935e+000  3,07428e+002  2,50000e+001  1,42491e+004  2,89541e+002  1,42520e+004  2,03200e-002  7,01509e-005  1,42547e-006  7,01654e-005
cfrp_f1_1-100-5Hz_1N, 18.04.2021 19:05:33
