         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,60831e+001  9,90000e+001  9,99999e-001  6,25000e-001  2,46261e+000  8,19342e-001  8,82000e+000  4,20785e+002  2,50000e+001  8,74459e+004  1,11405e+005  1,41626e+005  1,27399e+000  4,35966e-006  5,55418e-006  7,06085e-006
             1  2,59846e+001  1,18000e+002  6,00000e+000  4,16739e-001  9,70902e-001  1,31583e+000  9,34656e+000  4,30594e+002  2,50000e+001  1,62058e+004  2,28813e+005  2,29386e+005  1,41192e+001  3,07991e-007  4,34858e-006  4,35947e-006
             2  2,59445e+001  1,36000e+002  1,10000e+001  4,00000e-001  1,36128e+000  1,22833e+000  9,86779e+000  4,46421e+002  2,50000e+001  3,46390e+004  1,54026e+005  1,57873e+005  4,44662e+000  1,38979e-006  6,17984e-006  6,33419e-006
             3  2,59369e+001  1,59000e+002  1,60000e+001  1,48114e+000  3,52285e+000  1,11167e+000  1,02252e+001  4,55702e+002  2,50000e+001  6,63867e+004  2,23817e+005  2,33455e+005  3,37141e+000  1,21808e-006  4,10665e-006  4,28349e-006
             4  2,59651e+001  1,83000e+002  2,10000e+001  1,66586e+000  3,30043e+000  9,06835e-001  1,04496e+001  4,61007e+002  2,50000e+001  1,35464e+005  2,63886e+005  2,96625e+005  1,94801e+000  1,53960e-006  2,99916e-006  3,37126e-006
             5  2,59246e+001  1,98000e+002  2,60000e+001  2,16843e+000  3,02077e+000  7,79174e-001  1,06758e+001  4,66875e+002  2,50000e+001  2,31638e+005  3,97856e+005  4,60375e+005  1,71758e+000  1,09291e-006  1,87716e-006  2,17214e-006
             6  2,60605e+001  2,02000e+002  3,10000e+001  1,01500e+000  1,20947e+000  6,64697e-001  1,08716e+001  4,72238e+002  2,50000e+001  3,35019e+005  4,75896e+005  5,81992e+005  1,42051e+000  9,89089e-007  1,40501e-006  1,71824e-006
             7  2,60245e+001  2,17000e+002  3,60000e+001  1,04000e+000  9,59801e-001  5,79518e-001  1,10141e+001  4,76295e+002  2,50000e+001  4,86455e+005  7,01727e+005  8,53850e+005  1,44253e+000  6,67236e-007  9,62510e-007  1,17117e-006
             8  2,61348e+001  2,26000e+002  4,10000e+001  7,50000e-001  4,84687e-001  5,68930e-001  1,11118e+001  4,78581e+002  2,50000e+001  4,62016e+005  1,35368e+006  1,43035e+006  2,92993e+000  2,25826e-007  6,61654e-007  6,99130e-007
             9  2,62772e+001  2,31000e+002  4,60000e+001  1,02500e+000  5,61984e-001  5,33545e-001  1,11849e+001  4,79660e+002  2,50000e+001  2,98768e+005  1,84479e+006  1,86883e+006  6,17466e+000  8,55451e-008  5,28212e-007  5,35094e-007
            10  2,61049e+001  2,43000e+002  5,10000e+001  1,00000e+000  5,19246e-001  5,69981e-001  1,12913e+001  4,81082e+002  2,50000e+001  6,73548e+004  1,88209e+006  1,88329e+006  2,79429e+001  1,89904e-008  5,30646e-007  5,30985e-007
            11  2,60930e+001  2,46000e+002  5,60000e+001  1,00000e+000  5,61686e-001  6,28182e-001  1,14423e+001  4,83942e+002  2,50000e+001  1,38454e+005  1,58619e+006  1,59222e+006  1,14565e+001  5,46130e-008  6,25674e-007  6,28053e-007
            12  2,61353e+001  2,61000e+002  6,10000e+001  1,46494e+000  9,35205e-001  7,17809e-001  1,16079e+001  4,87482e+002  2,50000e+001  1,68626e+005  1,23074e+006  1,24224e+006  7,29865e+000  1,09273e-007  7,97545e-007  8,04996e-007
            13  2,62638e+001  2,70000e+002  6,60000e+001  1,03500e+000  7,45558e-001  8,49665e-001  1,17847e+001  4,91486e+002  2,50000e+001  9,70065e+004  9,60171e+005  9,65059e+005  9,89800e+000  1,04158e-007  1,03096e-006  1,03621e-006
            14  2,60297e+001  2,92000e+002  7,10000e+001  3,05000e-001  2,39557e-001  1,02279e+000  1,19671e+001  4,95440e+002  2,50000e+001 -1,11169e+004  7,79507e+005  7,79586e+005 -7,01188e+001 -1,82918e-008  1,28260e-006  1,28273e-006
