         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,20880e+001  2,10000e+001  9,99999e-001  2,40000e-001  6,99346e+001  2,92622e-002  2,50000e-002  2,36677e+002  2,50000e+001  5,41428e+003  1,57391e+002  5,41657e+003  2,90696e-002  1,84541e-004  5,36453e-006  1,84619e-004
             1  2,22267e+001  4,00000e+001  6,00000e+000  2,30534e-001  1,88171e+001  2,88242e-002  3,76562e-001  2,73915e+002  2,50000e+001  1,94152e+004  5,34287e+002  1,94226e+004  2,75190e-002  5,14670e-005  1,41632e-006  5,14865e-005
             2  2,20434e+001  5,80000e+001  1,10000e+001  2,68735e-001  1,52637e+001  2,30694e-002  5,86258e-001  2,95956e+002  2,50000e+001  2,79803e+004  5,74692e+002  2,79862e+004  2,05392e-002  3,57244e-005  7,33748e-007  3,57319e-005
             3  2,20580e+001  7,90000e+001  1,60000e+001  1,01497e+000  5,16392e+001  2,09037e-002  8,46440e-001  3,14468e+002  2,50000e+001  3,12691e+004  5,35524e+002  3,12737e+004  1,71263e-002  3,19711e-005  5,47547e-007  3,19758e-005
             4  2,20549e+001  8,30000e+001  2,10000e+001  9,81414e-001  4,71649e+001  1,97095e-002  9,91985e-001  3,25469e+002  2,50000e+001  3,31212e+004  4,86304e+002  3,31248e+004  1,46825e-002  3,01856e-005  4,43201e-007  3,01889e-005
             5  2,20141e+001  9,20000e+001  2,60000e+001  9,97016e-001  4,44082e+001  1,99783e-002  1,13849e+000  3,36571e+002  2,50000e+001  3,57628e+004  4,90627e+002  3,57662e+004  1,37189e-002  2,79568e-005  3,83536e-007  2,79594e-005
             6  2,19967e+001  9,40000e+001  3,10000e+001  1,00994e+000  4,38464e+001  2,01512e-002  1,26153e+000  3,44975e+002  2,50000e+001  3,66969e+004  4,64218e+002  3,66999e+004  1,26500e-002  2,72459e-005  3,44662e-007  2,72481e-005
             7  2,19053e+001  1,03000e+002  3,60000e+001  7,14750e-001  3,13384e+001  2,12871e-002  1,34871e+000  3,50072e+002  2,50000e+001  3,63270e+004  4,55908e+002  3,63298e+004  1,25501e-002  2,75234e-005  3,45422e-007  2,75256e-005
             8  2,18888e+001  1,06000e+002  4,10000e+001  1,00520e+000  4,42366e+001  2,26533e-002  1,41657e+000  3,53055e+002  2,50000e+001  3,61849e+004  4,58979e+002  3,61878e+004  1,26843e-002  2,76314e-005  3,50484e-007  2,76336e-005
             9  2,18999e+001  1,16000e+002  4,60000e+001  9,77679e-001  4,31696e+001  2,38990e-002  1,47154e+000  3,54901e+002  2,50000e+001  3,60552e+004  4,57778e+002  3,60581e+004  1,26966e-002  2,77308e-005  3,52086e-007  2,77330e-005
            10  2,19430e+001  1,21000e+002  5,10000e+001  9,95240e-001  4,40466e+001  2,51637e-002  1,48943e+000  3,54702e+002  2,50000e+001  3,59629e+004  4,57754e+002  3,59659e+004  1,27285e-002  2,78019e-005  3,53876e-007  2,78042e-005
