         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,20361e+001  1,00000e+000  9,99999e-001  1,00000e+000  1,27572e+001  2,25753e-002  1,57500e+000  3,46060e+002  2,50000e+001  1,64292e+004  3,79251e+002  1,64336e+004  2,30840e-002  6,08348e-005  1,40431e-006  6,08510e-005
             1  2,20937e+001  9,00000e+000  1,10000e+001  9,99635e-001  1,26910e+001  2,09452e-002  1,55312e+000  3,47873e+002  2,50000e+001  1,65122e+004  3,11306e+002  1,65152e+004  1,88530e-002  6,05397e-005  1,14136e-006  6,05505e-005
             2  2,20837e+001  1,20000e+001  2,10000e+001  1,00386e+000  1,27323e+001  2,22201e-002  1,54722e+000  3,48485e+002  2,50000e+001  1,65266e+004  2,91211e+002  1,65292e+004  1,76208e-002  6,04898e-005  1,06587e-006  6,04992e-005
             3  2,20694e+001  1,80000e+001  3,10000e+001  1,00031e+000  1,27057e+001  2,41802e-002  1,52859e+000  3,48344e+002  2,50000e+001  1,64978e+004  2,82043e+002  1,65002e+004  1,70958e-002  6,05965e-005  1,03594e-006  6,06053e-005
             4  2,20657e+001  2,10000e+001  4,10000e+001  9,97650e-001  1,26910e+001  2,70389e-002  1,51327e+000  3,48299e+002  2,50000e+001  1,64665e+004  2,88171e+002  1,64690e+004  1,75005e-002  6,07109e-005  1,06247e-006  6,07202e-005
             5  2,20461e+001  3,00000e+001  5,10000e+001  7,14857e-001  9,09157e+000  2,81646e-002  1,50219e+000  3,48471e+002  2,50000e+001  1,64634e+004  2,65300e+002  1,64655e+004  1,61145e-002  6,07251e-005  9,78556e-007  6,07330e-005
             6  2,20376e+001  3,30000e+001  6,10000e+001  1,00552e+000  1,28107e+001  3,30487e-002  1,49211e+000  3,48480e+002  2,50000e+001  1,64240e+004  3,05732e+002  1,64268e+004  1,86150e-002  6,08654e-005  1,13301e-006  6,08760e-005
             7  2,20205e+001  4,40000e+001  7,10000e+001  1,00196e+000  1,27807e+001  3,58763e-002  1,48121e+000  3,48373e+002  2,50000e+001  1,63931e+004  3,11298e+002  1,63961e+004  1,89896e-002  6,09792e-005  1,15797e-006  6,09902e-005
             8  2,20287e+001  5,30000e+001  8,10000e+001  1,02016e+000  1,30292e+001  3,91783e-002  1,47039e+000  3,48278e+002  2,50000e+001  1,63597e+004  3,24832e+002  1,63629e+004  1,98556e-002  6,11016e-005  1,21321e-006  6,11137e-005
             9  2,21220e+001  6,20000e+001  9,10000e+001  1,01969e+000  1,30362e+001  4,22583e-002  1,46324e+000  3,48273e+002  2,50000e+001  1,63293e+004  3,34642e+002  1,63327e+004  2,04933e-002  6,12139e-005  1,25448e-006  6,12268e-005
            10  2,21627e+001  7,20000e+001  1,01000e+002  1,03523e+000  1,32428e+001  4,44201e-002  1,46002e+000  3,48299e+002  2,50000e+001  1,63042e+004  3,29066e+002  1,63075e+004  2,01830e-002  6,13091e-005  1,23740e-006  6,13215e-005
cfrp_dma_1, 16.04.2021 16:43:51
