         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,31284e+001  2,10000e+001  9,99999e-001  0,00000e+000  1,01296e+002  9,52566e-002  0,00000e+000  1,81995e+002  2,50000e+001  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000
             1  2,30630e+001  3,90000e+001  6,00000e+000  2,50000e-002  4,49229e+001  7,69009e-002  1,45313e-001  2,70936e+002  2,50000e+001  1,58357e+002  1,19688e+001  1,58809e+002  7,55808e-002  6,27897e-003  4,74570e-004  6,29688e-003
             2  2,31119e+001  5,70000e+001  1,10000e+001  1,14960e-001  1,79257e+001  1,99668e-001  3,69039e-001  2,97382e+002  2,50000e+001  1,79875e+003  3,59903e+002  1,83440e+003  2,00085e-001  5,34543e-004  1,06954e-004  5,45138e-004
             3  2,30945e+001  6,10000e+001  1,60000e+001  1,42246e+000  9,87564e+001  2,29149e-001  5,53956e-001  3,10648e+002  2,50000e+001  4,02751e+003  9,28364e+002  4,13312e+003  2,30506e-001  2,35765e-004  5,43453e-005  2,41948e-004
             4  2,31147e+001  7,90000e+001  2,10000e+001  8,83275e-001  3,24941e+001  3,77932e-001  1,00136e+000  3,30994e+002  2,50000e+001  7,28622e+003  2,88420e+003  7,83630e+003  3,95843e-001  1,18653e-004  4,69681e-005  1,27611e-004
             5  2,30771e+001  8,40000e+001  2,60000e+001  2,61565e+000  6,78113e+001  1,04698e-001  1,28678e+000  3,50780e+002  2,50000e+001  1,11244e+004  1,11487e+003  1,11802e+004  1,00219e-001  8,89983e-005  8,91929e-006  8,94442e-005
             6  2,29761e+001  1,02000e+002  3,10000e+001  9,89415e-001  1,58199e+001  8,14201e-002  1,55187e+000  3,64148e+002  2,50000e+001  1,82588e+004  1,38562e+003  1,83113e+004  7,58879e-002  5,44546e-005  4,13245e-006  5,46112e-005
             7  2,29493e+001  1,12000e+002  3,60000e+001  1,97313e+000  2,73345e+001  3,43941e-002  1,78550e+000  3,71184e+002  2,50000e+001  2,12124e+004  5,58088e+002  2,12197e+004  2,63095e-002  4,71096e-005  1,23943e-006  4,71259e-005
             8  2,29456e+001  1,17000e+002  4,10000e+001  1,94322e+000  2,46945e+001  1,47041e-002  1,99710e+000  3,78939e+002  2,50000e+001  2,31926e+004  1,10061e+002  2,31929e+004  4,74553e-003  4,31162e-005  2,04609e-007  4,31166e-005
             9  2,29267e+001  1,26000e+002  4,60000e+001  1,99501e+000  2,40246e+001  9,82950e-003  2,17435e+000  3,85256e+002  2,50000e+001  2,45158e+004 -3,85335e+001  2,45158e+004 -1,57178e-003  4,07900e-005 -6,41129e-008  4,07900e-005
            10  2,29298e+001  1,29000e+002  5,10000e+001  2,01136e+000  2,37147e+001  1,95763e-002  2,33212e+000  3,91567e+002  2,50000e+001  2,50524e+004  1,81695e+002  2,50531e+004  7,25260e-003  3,99142e-005  2,89482e-007  3,99153e-005
            11  2,29276e+001  1,36000e+002  5,60000e+001  2,02355e+000  2,37505e+001  2,55316e-002  2,46369e+000  3,95512e+002  2,50000e+001  2,51627e+004  3,05737e+002  2,51646e+004  1,21504e-002  3,97355e-005  4,82802e-007  3,97384e-005
            12  2,29582e+001  1,41000e+002  6,10000e+001  2,02343e+000  2,37480e+001  2,89963e-002  2,49978e+000  3,96410e+002  2,50000e+001  2,51560e+004  3,63880e+002  2,51586e+004  1,44650e-002  3,97437e-005  5,74890e-007  3,97478e-005
            13  2,29421e+001  1,48000e+002  6,60000e+001  2,01936e+000  2,38212e+001  3,04496e-002  2,49369e+000  3,96487e+002  2,50000e+001  2,50160e+004  3,67517e+002  2,50187e+004  1,46913e-002  3,99658e-005  5,87148e-007  3,99701e-005
            14  2,29167e+001  1,57000e+002  7,10000e+001  2,01907e+000  2,39089e+001  3,19082e-002  2,49040e+000  3,96595e+002  2,50000e+001  2,49090e+004  3,71740e+002  2,49117e+004  1,49240e-002  4,01373e-005  5,99007e-007  4,01417e-005
            15  2,28852e+001  1,68000e+002  7,60000e+001  2,01736e+000  2,39046e+001  3,32621e-002  2,48880e+000  3,96705e+002  2,50000e+001  2,48828e+004  3,74485e+002  2,48856e+004  1,50500e-002  4,01793e-005  6,04697e-007  4,01839e-005
