         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,22593e+001  2,70000e+001  9,99999e-001  8,25000e-001  1,59858e+001  2,79231e-002  1,65500e+000  5,69539e+002  2,50000e+001  1,06916e+004  3,02458e+002  1,06959e+004  2,82893e-002  9,34564e-005  2,64382e-006  9,34938e-005
             1  2,22175e+001  3,50000e+001  1,10000e+001  1,00172e+000  1,94681e+001  2,59322e-002  1,62063e+000  5,72688e+002  2,50000e+001  1,06597e+004  2,52977e+002  1,06627e+004  2,37321e-002  9,37583e-005  2,22508e-006  9,37847e-005
             2  2,22021e+001  3,80000e+001  2,10000e+001  9,99886e-001  1,94276e+001  2,70604e-002  1,60937e+000  5,73769e+002  2,50000e+001  1,06612e+004  2,38421e+002  1,06638e+004  2,23634e-002  9,37514e-005  2,09661e-006  9,37749e-005
             3  2,21995e+001  4,50000e+001  3,10000e+001  1,00159e+000  1,94214e+001  2,93537e-002  1,59881e+000  5,74145e+002  2,50000e+001  1,06806e+004  2,36971e+002  1,06832e+004  2,21870e-002  9,35815e-005  2,07629e-006  9,36046e-005
             4  2,22162e+001  4,70000e+001  4,10000e+001  1,00816e+000  1,94134e+001  3,21212e-002  1,58532e+000  5,74297e+002  2,50000e+001  1,07530e+004  2,41924e+002  1,07557e+004  2,24983e-002  9,29503e-005  2,09122e-006  9,29738e-005
             5  2,24089e+001  5,40000e+001  5,10000e+001  1,00684e+000  1,93769e+001  3,34879e-002  1,56855e+000  5,74466e+002  2,50000e+001  1,07550e+004  2,29882e+002  1,07574e+004  2,13745e-002  9,29379e-005  1,98650e-006  9,29591e-005
             6  2,23091e+001  6,20000e+001  6,10000e+001  1,00140e+000  1,91150e+001  3,75348e-002  1,55253e+000  5,74282e+002  2,50000e+001  1,08392e+004  2,49259e+002  1,08421e+004  2,29961e-002  9,22090e-005  2,12045e-006  9,22334e-005
             7  2,22730e+001  6,60000e+001  7,10000e+001  1,00705e+000  1,91211e+001  3,98780e-002  1,53621e+000  5,73897e+002  2,50000e+001  1,08914e+004  2,49139e+002  1,08943e+004  2,28747e-002  9,17671e-005  2,09915e-006  9,17911e-005
             8  2,22086e+001  7,50000e+001  8,10000e+001  3,07200e-001  5,79982e+000  4,28328e-002  1,51731e+000  5,73377e+002  2,50000e+001  1,09469e+004  2,55940e+002  1,09499e+004  2,33801e-002  9,13002e-005  2,13461e-006  9,13251e-005
             9  2,21938e+001  7,80000e+001  9,10000e+001  1,02238e+000  1,91597e+001  4,36853e-002  1,49505e+000  5,72635e+002  2,50000e+001  1,10215e+004  2,39570e+002  1,10242e+004  2,17365e-002  9,06885e-005  1,97125e-006  9,07099e-005
            10  2,21640e+001  8,70000e+001  1,01000e+002  2,63614e-001  4,89411e+000  4,31383e-002  1,47087e+000  5,71687e+002  2,50000e+001  1,11183e+004  2,07498e+002  1,11203e+004  1,86627e-002  8,99103e-005  1,67797e-006  8,99259e-005
cfrp_dma_2, 16.04.2021 17:08:36
