         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,25634e+001  2,10000e+001  9,99999e-001  3,50000e-002  9,60887e+001  9,56443e-003  0,00000e+000  2,58999e+002  2,50000e+001  2,32007e+003  2,16122e+001  2,32017e+003  9,31530e-003  4,30984e-004  4,01474e-006  4,31002e-004
             1  2,26343e+001  3,90000e+001  6,00000e+000  5,81300e-002  5,06200e+001  1,27150e-002  1,03125e-001  3,49736e+002  2,50000e+001  7,31647e+003  8,22338e+001  7,31693e+003  1,12396e-002  1,36661e-004  1,53600e-006  1,36669e-004
             2  2,26621e+001  5,70000e+001  1,10000e+001  6,94782e-002  4,12676e+001  1,12704e-002  1,65656e-001  3,96060e+002  2,50000e+001  1,07287e+004  9,18589e+001  1,07291e+004  8,56196e-003  9,32009e-005  7,97983e-007  9,32044e-005
             3  2,26530e+001  6,00000e+001  1,60000e+001  1,91157e-001  1,05892e+002  8,46263e-003  1,99729e-001  4,14643e+002  2,50000e+001  1,15038e+004  5,19762e+001  1,15039e+004  4,51818e-003  8,69261e-005  3,92748e-007  8,69270e-005
             4  2,26330e+001  7,10000e+001  2,10000e+001  1,93747e-001  1,03948e+002  6,50207e-003  2,19408e-001  4,24348e+002  2,50000e+001  1,18770e+004  1,57009e+001  1,18770e+004  1,32195e-003  8,41961e-005  1,11303e-007  8,41962e-005
             5  2,26245e+001  7,40000e+001  2,60000e+001  1,96344e-001  9,91962e+001  9,10624e-003  2,43836e-001  4,40149e+002  2,50000e+001  1,26120e+004  3,39753e+001  1,26121e+004  2,69388e-003  7,92888e-005  2,13595e-007  7,92891e-005
             6  2,26080e+001  8,40000e+001  3,10000e+001  1,97699e-001  9,89246e+001  1,09713e-002  2,61784e-001  4,50182e+002  2,50000e+001  1,27323e+004  4,23497e+001  1,27324e+004  3,32616e-003  7,85395e-005  2,61235e-007  7,85399e-005
             7  2,25999e+001  8,70000e+001  3,60000e+001  2,00302e-001  1,02324e+002  1,34076e-002  2,69367e-001  4,52001e+002  2,50000e+001  1,24692e+004  5,64868e+001  1,24693e+004  4,53012e-003  8,01962e-005  3,63298e-007  8,01970e-005
             8  2,25777e+001  9,60000e+001  4,10000e+001  1,91175e-001  9,94541e+001  1,44614e-002  2,72466e-001  4,50763e+002  2,50000e+001  1,22421e+004  5,32620e+001  1,22423e+004  4,35071e-003  8,16835e-005  3,55381e-007  8,16843e-005
             9  2,25773e+001  9,90000e+001  4,60000e+001  1,89727e-001  1,00478e+002  1,43645e-002  2,71201e-001  4,48350e+002  2,50000e+001  1,20231e+004  3,63072e+001  1,20231e+004  3,01979e-003  8,31727e-005  2,51164e-007  8,31731e-005
            10  2,25688e+001  1,11000e+002  5,10000e+001  1,92651e-001  1,03673e+002  1,11651e-002  2,68449e-001  4,45763e+002  2,50000e+001  1,18293e+004 -1,67463e+001  1,18294e+004 -1,41566e-003  8,45354e-005 -1,19673e-007  8,45355e-005
            11  2,25634e+001  1,14000e+002  5,60000e+001  1,92657e-001  1,05184e+002  5,98336e-003  2,66194e-001  4,44368e+002  2,50000e+001  1,16564e+004 -9,13255e+001  1,16568e+004 -7,83478e-003  8,57843e-005 -6,72101e-007  8,57870e-005
            12  2,26292e+001  1,25000e+002  6,10000e+001  1,79741e-001  9,94902e+001  4,71796e-004  2,64190e-001  4,43452e+002  2,50000e+001  1,14933e+004 -1,67621e+002  1,14945e+004 -1,45843e-002  8,69891e-005 -1,26868e-006  8,69983e-005
            13  2,26732e+001  1,34000e+002  6,60000e+001  1,75711e-001  9,85749e+001 -1,49600e-004  2,62829e-001  4,43085e+002  2,50000e+001  1,13361e+004 -1,86361e+002  1,13377e+004 -1,64395e-002  8,81897e-005 -1,44980e-006  8,82016e-005
            14  2,27251e+001  1,43000e+002  7,10000e+001  1,71155e-001  9,73469e+001  4,07651e-003  2,61951e-001  4,42756e+002  2,50000e+001  1,11783e+004 -1,50265e+002  1,11794e+004 -1,34426e-002  8,94425e-005 -1,20234e-006  8,94506e-005
            15  2,26738e+001  1,55000e+002  7,60000e+001  1,74630e-001  1,00765e+002  1,07201e-002  2,61709e-001  4,42709e+002  2,50000e+001  1,10152e+004 -8,84106e+001  1,10155e+004 -8,02625e-003  9,07779e-005 -7,28606e-007  9,07809e-005
            16  2,26605e+001  1,58000e+002  8,10000e+001  1,69865e-001  9,96463e+001  1,36786e-002  2,61836e-001  4,42781e+002  2,50000e+001  1,08310e+004 -6,82130e+001  1,08312e+004 -6,29795e-003  9,23241e-005 -5,81453e-007  9,23259e-005
            17  2,27655e+001  1,71000e+002  8,60000e+001  1,68515e-001  1,00185e+002  1,06619e-002  2,62342e-001  4,42907e+002  2,50000e+001  1,06826e+004 -1,12690e+002  1,06832e+004 -1,05490e-002  9,36001e-005 -9,87383e-007  9,36053e-005
            18  2,26548e+001  1,83000e+002  9,10000e+001  1,67671e-001  1,00892e+002 -3,18657e-004  2,63060e-001  4,43045e+002  2,50000e+001  1,05480e+004 -2,40197e+002  1,05507e+004 -2,27718e-002  9,47557e-005 -2,15776e-006  9,47802e-005
            19  2,26955e+001  1,94000e+002  9,60000e+001  1,64695e-001  1,00380e+002 -1,74119e-002  2,63491e-001  4,42965e+002  2,50000e+001  1,04029e+004 -4,27834e+002  1,04117e+004 -4,11264e-002  9,59647e-005 -3,94668e-006  9,60458e-005
            20  2,26739e+001  1,97000e+002  1,01000e+002  1,60921e-001  9,95087e+001 -3,19742e-002  2,64083e-001  4,43200e+002  2,50000e+001  1,02408e+004 -5,83387e+002  1,02574e+004 -5,69669e-002  9,73327e-005 -5,54474e-006  9,74905e-005
cfrp, 22.04.2021 14:19:56
