         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,28131e+001  2,10000e+001  9,99999e-001  3,50000e-002  9,57921e+001  3,56981e-002  0,00000e+000  2,50441e+002  2,50000e+001  2,32590e+003  8,24932e+001  2,32736e+003  3,54673e-002  4,29402e-004  1,52297e-005  4,29672e-004
             1  2,27668e+001  3,90000e+001  6,00000e+000  5,81212e-002  5,05820e+001  2,17175e-002  1,04687e-001  3,43842e+002  2,50000e+001  7,31982e+003  1,48214e+002  7,32132e+003  2,02484e-002  1,36559e-004  2,76510e-006  1,36587e-004
             2  2,29500e+001  5,70000e+001  1,10000e+001  6,96144e-002  4,12584e+001  1,47212e-002  1,66664e-001  3,91712e+002  2,50000e+001  1,07518e+004  1,29188e+002  1,07525e+004  1,20155e-002  9,29945e-005  1,11737e-006  9,30012e-005
             3  2,29760e+001  6,00000e+001  1,60000e+001  1,90624e-001  1,05475e+002  1,01717e-002  1,99708e-001  4,11018e+002  2,50000e+001  1,15169e+004  7,17329e+001  1,15172e+004  6,22847e-003  8,68253e-005  5,40789e-007  8,68270e-005
             4  2,28911e+001  7,10000e+001  2,10000e+001  1,93613e-001  1,03822e+002  6,09456e-003  2,19319e-001  4,21190e+002  2,50000e+001  1,18833e+004  1,08631e+001  1,18833e+004  9,14147e-004  8,41518e-005  7,69271e-008  8,41518e-005
             5  2,28650e+001  7,40000e+001  2,60000e+001  1,97062e-001  9,93123e+001  5,91936e-003  2,44169e-001  4,37431e+002  2,50000e+001  1,26434e+004 -6,26443e+000  1,26434e+004 -4,95469e-004  7,90925e-005 -3,91879e-008  7,90925e-005
             6  2,28493e+001  8,30000e+001  3,10000e+001  1,97618e-001  9,86425e+001  9,05466e-003  2,61942e-001  4,47867e+002  2,50000e+001  1,27635e+004  1,79713e+001  1,27636e+004  1,40802e-003  7,83480e-005  1,10315e-007  7,83481e-005
             7  2,28280e+001  8,60000e+001  3,60000e+001  1,95924e-001  1,00186e+002  1,16331e-002  2,69509e-001  4,50005e+002  2,50000e+001  1,24570e+004  3,43099e+001  1,24571e+004  2,75427e-003  8,02755e-005  2,21100e-007  8,02758e-005
             8  2,28078e+001  9,60000e+001  4,10000e+001  1,91880e-001  9,98280e+001  1,38480e-002  2,73162e-001  4,49238e+002  2,50000e+001  1,22412e+004  4,57425e+001  1,22413e+004  3,73675e-003  8,16900e-005  3,05255e-007  8,16905e-005
             9  2,27941e+001  1,01000e+002  4,60000e+001  2,00159e-001  1,05946e+002  1,44425e-002  2,72780e-001  4,47354e+002  2,50000e+001  1,20295e+004  3,72658e+001  1,20296e+004  3,09786e-003  8,31279e-005  2,57518e-007  8,31283e-005
            10  2,27728e+001  1,08000e+002  5,10000e+001  1,88756e-001  1,01442e+002  1,16807e-002  2,70682e-001  4,45154e+002  2,50000e+001  1,18452e+004 -1,06571e+001  1,18452e+004 -8,99700e-004  8,44226e-005 -7,59550e-008  8,44227e-005
            11  2,27758e+001  1,11000e+002  5,60000e+001  1,84736e-001  1,00679e+002  6,51807e-003  2,68918e-001  4,43977e+002  2,50000e+001  1,16774e+004 -8,52412e+001  1,16777e+004 -7,29967e-003  8,56309e-005 -6,25077e-007  8,56332e-005
            12  2,28404e+001  1,25000e+002  6,10000e+001  1,79856e-001  9,93826e+001  9,31140e-004  2,67378e-001  4,43150e+002  2,50000e+001  1,15131e+004 -1,62618e+002  1,15143e+004 -1,41246e-002  8,68400e-005 -1,22658e-006  8,68487e-005
            13  2,28010e+001  1,38000e+002  6,60000e+001  1,76215e-001  9,87158e+001  4,61960e-004  2,66181e-001  4,43130e+002  2,50000e+001  1,13525e+004 -1,79681e+002  1,13539e+004 -1,58274e-002  8,80641e-005 -1,39383e-006  8,80751e-005
            14  2,27539e+001  1,56000e+002  7,10000e+001  1,74842e-001  9,93245e+001  4,87895e-003  2,65278e-001  4,43273e+002  2,50000e+001  1,11919e+004 -1,41459e+002  1,11928e+004 -1,26394e-002  8,93360e-005 -1,12916e-006  8,93431e-005
            15  2,27438e+001  1,61000e+002  7,60000e+001  1,75178e-001  1,00977e+002  1,12674e-002  2,65000e-001  4,43525e+002  2,50000e+001  1,10266e+004 -8,24637e+001  1,10269e+004 -7,47859e-003  9,06845e-005 -6,78192e-007  9,06870e-005
            16  2,27299e+001  1,73000e+002  8,10000e+001  1,70112e-001  9,96554e+001  1,49765e-002  2,65000e-001  4,43793e+002  2,50000e+001  1,08458e+004 -5,42207e+001  1,08460e+004 -4,99922e-003  9,21990e-005 -4,60923e-007  9,22001e-005
            17  2,28086e+001  1,85000e+002  8,60000e+001  1,69135e-001  1,00486e+002  1,12998e-002  2,65000e-001  4,43817e+002  2,50000e+001  1,06897e+004 -1,05942e+002  1,06902e+004 -9,91060e-003  9,35386e-005 -9,27024e-007  9,35432e-005
            18  2,28266e+001  1,95000e+002  9,10000e+001  1,68183e-001  1,01296e+002 -2,40822e-003  2,65000e-001  4,43841e+002  2,50000e+001  1,05374e+004 -2,62001e+002  1,05407e+004 -2,48639e-002  9,48415e-005 -2,35813e-006  9,48708e-005
            19  2,28164e+001  2,00000e+002  9,60000e+001  1,64769e-001  1,00606e+002 -1,82984e-002  2,65000e-001  4,43881e+002  2,50000e+001  1,03838e+004 -4,36276e+002  1,03930e+004 -4,20149e-002  9,61338e-005 -4,03905e-006  9,62187e-005
            20  2,27708e+001  2,13000e+002  1,01000e+002  1,60740e-001  9,94674e+001 -2,86954e-002  2,65000e-001  4,44340e+002  2,50000e+001  1,02354e+004 -5,49394e+002  1,02501e+004 -5,36760e-002  9,74196e-005 -5,22909e-006  9,75598e-005
cfrp, 22.04.2021 14:00:12
