         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
            23  3,10329e+001  2,42000e+002  1,10000e+001  1,00501e+000  2,16624e+001  1,50059e-002  1,49796e+000  3,66954e+002  2,50000e+001  2,30794e+004  2,89491e+002  2,30812e+004  1,25433e-002  4,33218e-005  5,43397e-007  4,33252e-005
            24  3,10366e+001  2,43000e+002  1,60000e+001  1,26261e+000  2,71723e+001  1,61503e-002  1,49855e+000  3,67141e+002  2,50000e+001  2,31149e+004  2,87845e+002  2,31167e+004  1,24528e-002  4,32555e-005  5,38652e-007  4,32588e-005
            25  3,10137e+001  2,45000e+002  2,10000e+001  1,04470e+000  2,24372e+001  1,75682e-002  1,49891e+000  3,67291e+002  2,50000e+001  2,31608e+004  2,92790e+002  2,31626e+004  1,26416e-002  4,31696e-005  5,45734e-007  4,31730e-005
            26  3,09844e+001  2,55000e+002  2,60000e+001  1,00476e+000  2,15677e+001  1,80469e-002  1,49941e+000  3,67416e+002  2,50000e+001  2,31713e+004  2,75076e+002  2,31729e+004  1,18714e-002  4,31508e-005  5,12262e-007  4,31538e-005
            27  3,09237e+001  2,57000e+002  3,10000e+001  1,00085e+000  2,14547e+001  1,96064e-002  1,49986e+000  3,67461e+002  2,50000e+001  2,32001e+004  2,83149e+002  2,32018e+004  1,22047e-002  4,30969e-005  5,25983e-007  4,31001e-005
            28  3,08695e+001  2,58000e+002  3,60000e+001  1,00017e+000  2,14129e+001  2,09873e-002  1,50000e+000  3,67461e+002  2,50000e+001  2,32264e+004  2,86980e+002  2,32282e+004  1,23557e-002  4,30478e-005  5,31888e-007  4,30511e-005
            29  3,08948e+001  2,60000e+002  4,10000e+001  1,00050e+000  2,13959e+001  2,24977e-002  1,50000e+000  3,67464e+002  2,50000e+001  2,32488e+004  2,93844e+002  2,32507e+004  1,26391e-002  4,30060e-005  5,43557e-007  4,30095e-005
            30  3,07726e+001  2,67000e+002  4,60000e+001  1,00049e+000  2,13738e+001  2,39306e-002  1,50000e+000  3,67461e+002  2,50000e+001  2,32681e+004  2,98842e+002  2,32700e+004  1,28434e-002  4,29702e-005  5,51884e-007  4,29737e-005
            31  3,07718e+001  2,69000e+002  5,10000e+001  1,00505e+000  2,14515e+001  2,55126e-002  1,50000e+000  3,67475e+002  2,50000e+001  2,32846e+004  3,07357e+002  2,32866e+004  1,32000e-002  4,29394e-005  5,66802e-007  4,29431e-005
            32  3,07450e+001  2,72000e+002  5,60000e+001  1,00652e+000  2,14637e+001  2,69309e-002  1,50000e+000  3,67459e+002  2,50000e+001  2,32999e+004  3,11981e+002  2,33020e+004  1,33898e-002  4,29109e-005  5,74567e-007  4,29147e-005
            33  3,07435e+001  2,73000e+002  6,10000e+001  1,00430e+000  2,13975e+001  2,82530e-002  1,49987e+000  3,67355e+002  2,50000e+001  2,33144e+004  3,14312e+002  2,33165e+004  1,34815e-002  4,28842e-005  5,78142e-007  4,28881e-005
            34  3,08518e+001  2,82000e+002  6,60000e+001  9,95263e-001  2,11859e+001  2,93787e-002  1,49944e+000  3,67233e+002  2,50000e+001  2,33288e+004  3,11974e+002  2,33309e+004  1,33729e-002  4,28578e-005  5,73131e-007  4,28616e-005
            35  3,08607e+001  2,84000e+002  7,10000e+001  1,01503e+000  2,15859e+001  3,07185e-002  1,49888e+000  3,67170e+002  2,50000e+001  2,33442e+004  3,14752e+002  2,33463e+004  1,34831e-002  4,28295e-005  5,77474e-007  4,28334e-005
            36  3,08717e+001  2,85000e+002  7,60000e+001  1,01518e+000  2,15671e+001  3,20412e-002  1,49832e+000  3,67079e+002  2,50000e+001  2,33602e+004  3,17140e+002  2,33624e+004  1,35761e-002  4,27999e-005  5,81055e-007  4,28039e-005
            37  3,08937e+001  2,87000e+002  8,10000e+001  1,01061e+000  2,14427e+001  3,37204e-002  1,49772e+000  3,66896e+002  2,50000e+001  2,33817e+004  3,28125e+002  2,33840e+004  1,40334e-002  4,27600e-005  6,00069e-007  4,27642e-005
            38  3,09949e+001  2,96000e+002  8,60000e+001  1,01583e+000  2,15316e+001  3,49447e-002  1,49697e+000  3,66681e+002  2,50000e+001  2,33969e+004  3,28178e+002  2,33992e+004  1,40266e-002  4,27323e-005  5,99387e-007  4,27365e-005
            39  3,10189e+001  2,99000e+002  9,10000e+001  1,04097e+000  2,20392e+001  3,62668e-002  1,49607e+000  3,66429e+002  2,50000e+001  2,34143e+004  3,30606e+002  2,34167e+004  1,41198e-002  4,27003e-005  6,02921e-007  4,27046e-005
            40  3,09956e+001  3,00000e+002  9,60000e+001  1,00497e+000  2,12489e+001  3,71386e-002  1,49512e+000  3,66134e+002  2,50000e+001  2,34358e+004  3,22330e+002  2,34380e+004  1,37538e-002  4,26617e-005  5,86759e-007  4,26658e-005
            41  3,10238e+001  3,09000e+002  1,01000e+002  9,79630e-001  2,06839e+001  3,78554e-002  1,49449e+000  3,65862e+002  2,50000e+001  2,34588e+004  3,10355e+002  2,34609e+004  1,32298e-002  4,26204e-005  5,63857e-007  4,26241e-005
cfrp_frq1_100_5_1N, 25.04.2021 16:32:05
