         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,66133e+001  2,00000e+001  9,99999e-001  2,05000e-001  7,43093e+001  5,00345e-002  5,00000e-003  1,61995e+002  2,50000e+001  1,34502e+003  6,70957e+001  1,34670e+003  4,98844e-002  7,41635e-004  3,69960e-005  7,42557e-004
             1  2,65836e+001  3,80000e+001  6,00000e+000  2,26576e-001  1,17813e+001  2,41066e-002  4,51875e-001  2,01497e+002  2,50000e+001  9,45283e+003  2,15702e+002  9,45529e+003  2,28188e-002  1,05733e-004  2,41271e-006  1,05761e-004
             2  2,66161e+001  5,80000e+001  1,10000e+001  3,21759e-001  7,86508e+000  2,28095e-002  7,73313e-001  2,17692e+002  2,50000e+001  2,02995e+004  4,15309e+002  2,03038e+004  2,04591e-002  4,92416e-005  1,00744e-006  4,92519e-005
             3  2,66061e+001  6,10000e+001  1,60000e+001  9,70296e-001  2,32346e+001  2,03438e-002  9,81761e-001  2,25682e+002  2,50000e+001  2,07296e+004  3,46153e+002  2,07325e+004  1,66984e-002  4,82266e-005  8,05309e-007  4,82334e-005
             4  2,66618e+001  7,90000e+001  2,10000e+001  9,56409e-001  2,10648e+001  1,65100e-002  1,10341e+000  2,30724e+002  2,50000e+001  2,25735e+004  2,60852e+002  2,25750e+004  1,15557e-002  4,42938e-005  5,11845e-007  4,42968e-005
             5  2,66547e+001  8,00000e+001  2,60000e+001  1,01559e+000  1,99787e+001  1,54960e-002  1,24254e+000  2,37836e+002  2,50000e+001  2,53319e+004  2,35216e+002  2,53330e+004  9,28536e-003  3,94726e-005  3,66517e-007  3,94743e-005
             6  2,66692e+001  8,90000e+001  3,10000e+001  7,23235e-001  1,38329e+001  1,80364e-002  1,35583e+000  2,42052e+002  2,50000e+001  2,60672e+004  2,77058e+002  2,60687e+004  1,06286e-002  3,83581e-005  4,07693e-007  3,83602e-005
             7  2,66397e+001  9,20000e+001  3,60000e+001  1,01494e+000  1,99072e+001  1,97803e-002  1,42764e+000  2,43935e+002  2,50000e+001  2,54002e+004  2,83079e+002  2,54018e+004  1,11447e-002  3,93649e-005  4,38711e-007  3,93673e-005
             8  2,66596e+001  1,01000e+002  4,10000e+001  1,01006e+000  2,00358e+001  2,12954e-002  1,47765e+000  2,45221e+002  2,50000e+001  2,51048e+004  2,86954e+002  2,51064e+004  1,14302e-002  3,98279e-005  4,55243e-007  3,98305e-005
             9  2,66321e+001  1,04000e+002  4,60000e+001  9,99413e-001  1,99931e+001  2,27304e-002  1,49059e+000  2,45523e+002  2,50000e+001  2,48834e+004  2,89508e+002  2,48851e+004  1,16346e-002  4,01819e-005  4,67499e-007  4,01847e-005
            10  2,65559e+001  1,12000e+002  5,10000e+001  1,00650e+000  2,02225e+001  2,40925e-002  1,48898e+000  2,45443e+002  2,50000e+001  2,47675e+004  2,91404e+002  2,47692e+004  1,17656e-002  4,03699e-005  4,74976e-007  4,03727e-005
            11  2,65296e+001  1,15000e+002  5,60000e+001  1,00473e+000  2,02011e+001  2,53355e-002  1,48857e+000  2,45506e+002  2,50000e+001  2,47437e+004  2,91378e+002  2,47454e+004  1,17759e-002  4,04088e-005  4,75849e-007  4,04116e-005
            12  2,64731e+001  1,27000e+002  6,10000e+001  9,98905e-001  2,00706e+001  2,65785e-002  1,48856e+000  2,45613e+002  2,50000e+001  2,47536e+004  2,91767e+002  2,47553e+004  1,17868e-002  4,03925e-005  4,76101e-007  4,03953e-005
            13  2,65351e+001  1,37000e+002  6,60000e+001  9,94629e-001  1,99663e+001  2,80895e-002  1,49045e+000  2,45686e+002  2,50000e+001  2,47694e+004  2,99013e+002  2,47712e+004  1,20719e-002  4,03665e-005  4,87299e-007  4,03694e-005
            14  2,65697e+001  1,46000e+002  7,10000e+001  1,01498e+000  2,03542e+001  2,98278e-002  1,49269e+000  2,45677e+002  2,50000e+001  2,47867e+004  3,12055e+002  2,47887e+004  1,25896e-002  4,03377e-005  5,07835e-007  4,03409e-005
            15  2,65821e+001  1,57000e+002  7,60000e+001  1,00037e+000  2,00429e+001  3,17149e-002  1,49228e+000  2,45591e+002  2,50000e+001  2,48011e+004  3,28851e+002  2,48033e+004  1,32595e-002  4,03137e-005  5,34542e-007  4,03173e-005
            16  2,66183e+001  1,61000e+002  8,10000e+001  9,95268e-001  1,99240e+001  3,35799e-002  1,49077e+000  2,45506e+002  2,50000e+001  2,48129e+004  3,45078e+002  2,48153e+004  1,39072e-002  4,02939e-005  5,60376e-007  4,02978e-005
            17  2,65340e+001  1,72000e+002  8,60000e+001  9,99152e-001  1,99876e+001  3,49033e-002  1,48976e+000  2,45426e+002  2,50000e+001  2,48210e+004  3,47533e+002  2,48235e+004  1,40016e-002  4,02805e-005  5,63989e-007  4,02844e-005
            18  2,64911e+001  1,79000e+002  9,10000e+001  1,00934e+000  2,01772e+001  3,59271e-002  1,48933e+000  2,45307e+002  2,50000e+001  2,48286e+004  3,42384e+002  2,48309e+004  1,37899e-002  4,02686e-005  5,55300e-007  4,02724e-005
            19  2,64523e+001  1,88000e+002  9,60000e+001  9,90860e-001  1,97934e+001  3,68920e-002  1,48772e+000  2,45135e+002  2,50000e+001  2,48360e+004  3,35742e+002  2,48383e+004  1,35183e-002  4,02567e-005  5,44204e-007  4,02604e-005
            20  2,64345e+001  1,91000e+002  1,01000e+002  1,03970e+000  2,07558e+001  3,77032e-002  1,48565e+000  2,44988e+002  2,50000e+001  2,48409e+004  3,25167e+002  2,48430e+004  1,30900e-002  4,02494e-005  5,26864e-007  4,02528e-005
            21  2,67602e+001  1,98000e+002  9,99999e-001  1,00000e+000  2,01877e+001  1,11327e-002  1,50000e+000  2,43974e+002  2,50000e+001  2,46779e+004  2,74419e+002  2,46795e+004  1,11200e-002  4,05170e-005  4,50551e-007  4,05195e-005
            22  2,66692e+001  2,11000e+002  6,00000e+000  1,00567e+000  2,02896e+001  1,23611e-002  1,49063e+000  2,44950e+002  2,50000e+001  2,46931e+004  2,74544e+002  2,46946e+004  1,11183e-002  4,04922e-005  4,50202e-007  4,04947e-005
            23  2,64900e+001  2,19000e+002  1,10000e+001  1,00412e+000  2,02609e+001  1,32989e-002  1,48223e+000  2,45210e+002  2,50000e+001  2,46891e+004  2,67045e+002  2,46906e+004  1,08163e-002  4,04989e-005  4,38049e-007  4,05013e-005
            24  2,64770e+001  2,20000e+002  1,60000e+001  1,01607e+000  2,04901e+001  1,42724e-002  1,48880e+000  2,45407e+002  2,50000e+001  2,47022e+004  2,60628e+002  2,47036e+004  1,05508e-002  4,04777e-005  4,27070e-007  4,04799e-005
            25  2,64499e+001  2,22000e+002  2,10000e+001  9,99878e-001  2,01611e+001  1,56551e-002  1,49209e+000  2,45547e+002  2,50000e+001  2,47031e+004  2,64407e+002  2,47046e+004  1,07034e-002  4,04761e-005  4,33230e-007  4,04784e-005
            26  2,65548e+001  2,29000e+002  2,60000e+001  9,99965e-001  2,01611e+001  1,60918e-002  1,49250e+000  2,45676e+002  2,50000e+001  2,47028e+004  2,44291e+002  2,47040e+004  9,88920e-003  4,04773e-005  4,00288e-007  4,04793e-005
            27  2,66245e+001  2,31000e+002  3,10000e+001  9,99846e-001  2,01372e+001  1,76758e-002  1,49306e+000  2,45721e+002  2,50000e+001  2,47263e+004  2,53388e+002  2,47276e+004  1,02477e-002  4,04386e-005  4,14404e-007  4,04407e-005
            28  2,66269e+001  2,32000e+002  3,60000e+001  1,00052e+000  2,01371e+001  1,93896e-002  1,49548e+000  2,45698e+002  2,50000e+001  2,47394e+004  2,65678e+002  2,47408e+004  1,07391e-002  4,04167e-005  4,34038e-007  4,04191e-005
            29  2,66323e+001  2,34000e+002  4,10000e+001  1,00015e+000  2,01200e+001  2,11693e-002  1,49775e+000  2,45658e+002  2,50000e+001  2,47469e+004  2,79586e+002  2,47485e+004  1,12978e-002  4,04040e-005  4,56476e-007  4,04065e-005
            30  2,65482e+001  2,41000e+002  4,60000e+001  9,96303e-001  2,00375e+001  2,28487e-002  1,49734e+000  2,45608e+002  2,50000e+001  2,47481e+004  2,90892e+002  2,47498e+004  1,17541e-002  4,04015e-005  4,74884e-007  4,04043e-005
            31  2,65255e+001  2,43000e+002  5,10000e+001  1,00415e+000  2,01885e+001  2,41990e-002  1,49381e+000  2,45562e+002  2,50000e+001  2,47511e+004  2,93900e+002  2,47529e+004  1,18742e-002  4,03965e-005  4,79676e-007  4,03994e-005
            32  2,65212e+001  2,44000e+002  5,60000e+001  1,00438e+000  2,01872e+001  2,53895e-002  1,48934e+000  2,45517e+002  2,50000e+001  2,47521e+004  2,92846e+002  2,47538e+004  1,18312e-002  4,03950e-005  4,77921e-007  4,03979e-005
            33  2,65697e+001  2,46000e+002  6,10000e+001  9,95169e-001  1,99943e+001  2,63658e-002  1,48593e+000  2,45458e+002  2,50000e+001  2,47552e+004  2,86404e+002  2,47568e+004  1,15695e-002  4,03902e-005  4,67293e-007  4,03929e-005
            34  2,66531e+001  2,52000e+002  6,60000e+001  9,91174e-001  1,99047e+001  2,76329e-002  1,48508e+000  2,45388e+002  2,50000e+001  2,47597e+004  2,87340e+002  2,47613e+004  1,16052e-002  4,03828e-005  4,68649e-007  4,03856e-005
            35  2,66600e+001  2,53000e+002  7,10000e+001  9,95081e-001  1,99731e+001  2,91025e-002  1,48562e+000  2,45339e+002  2,50000e+001  2,47642e+004  2,93408e+002  2,47660e+004  1,18480e-002  4,03751e-005  4,78366e-007  4,03780e-005
            36  2,66873e+001  2,55000e+002  7,60000e+001  9,91148e-001  1,98829e+001  3,08312e-002  1,48617e+000  2,45255e+002  2,50000e+001  2,47699e+004  3,06057e+002  2,47717e+004  1,23560e-002  4,03655e-005  4,98757e-007  4,03686e-005
            37  2,67019e+001  2,56000e+002  8,10000e+001  1,01979e+000  2,04397e+001  3,26345e-002  1,48690e+000  2,45154e+002  2,50000e+001  2,47823e+004  3,20696e+002  2,47844e+004  1,29405e-002  4,03447e-005  5,22081e-007  4,03480e-005
            38  2,67161e+001  2,64000e+002  8,60000e+001  1,02324e+000  2,04909e+001  3,39658e-002  1,48929e+000  2,45068e+002  2,50000e+001  2,47947e+004  3,23397e+002  2,47968e+004  1,30430e-002  4,03243e-005  5,25949e-007  4,03278e-005
            39  2,67265e+001  2,67000e+002  9,10000e+001  1,03024e+000  2,06101e+001  3,50504e-002  1,49508e+000  2,44950e+002  2,50000e+001  2,48103e+004  3,19893e+002  2,48123e+004  1,28936e-002  4,02992e-005  5,19600e-007  4,03026e-005
            40  2,67508e+001  2,68000e+002  9,60000e+001  1,02053e+000  2,03934e+001  3,62389e-002  1,50200e+000  2,44754e+002  2,50000e+001  2,48271e+004  3,19044e+002  2,48292e+004  1,28506e-002  4,02719e-005  5,17519e-007  4,02752e-005
            41  2,67677e+001  2,77000e+002  1,01000e+002  9,54517e-001  1,90561e+001  3,72301e-002  1,50587e+000  2,44504e+002  2,50000e+001  2,48398e+004  3,13140e+002  2,48418e+004  1,26064e-002  4,02516e-005  5,07427e-007  4,02548e-005
cfrp_frq1_100_5_1N, 25.04.2021 17:53:32
