         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
            23  3,08985e+001  2,57000e+002  1,10000e+001  1,00830e+000  2,18898e+001  1,48544e-002  1,48980e+000  3,69617e+002  2,50000e+001  2,29112e+004  2,83799e+002  2,29130e+004  1,23869e-002  4,36401e-005  5,40566e-007  4,36434e-005
            24  3,07619e+001  2,59000e+002  1,60000e+001  1,36857e+000  2,96538e+001  1,60451e-002  1,49275e+000  3,69418e+002  2,50000e+001  2,29550e+004  2,83350e+002  2,29568e+004  1,23437e-002  4,35568e-005  5,37652e-007  4,35601e-005
            25  3,07822e+001  2,60000e+002  2,10000e+001  1,05981e+000  2,29250e+001  1,77749e-002  1,49457e+000  3,69341e+002  2,50000e+001  2,29924e+004  2,95468e+002  2,29943e+004  1,28507e-002  4,34855e-005  5,58820e-007  4,34891e-005
            26  3,09531e+001  2,69000e+002  2,60000e+001  1,00570e+000  2,17361e+001  1,79950e-002  1,49705e+000  3,69438e+002  2,50000e+001  2,30100e+004  2,71905e+002  2,30116e+004  1,18168e-002  4,34534e-005  5,13482e-007  4,34564e-005
            27  3,09751e+001  2,71000e+002  3,10000e+001  1,00415e+000  2,16892e+001  1,95652e-002  1,49931e+000  3,69527e+002  2,50000e+001  2,30213e+004  2,79958e+002  2,30230e+004  1,21608e-002  4,34316e-005  5,28164e-007  4,34348e-005
            28  3,09807e+001  2,72000e+002  3,60000e+001  1,00071e+000  2,15919e+001  2,10178e-002  1,50000e+000  3,69562e+002  2,50000e+001  2,30426e+004  2,85380e+002  2,30444e+004  1,23849e-002  4,33912e-005  5,37394e-007  4,33945e-005
            29  3,09986e+001  2,74000e+002  4,10000e+001  1,00133e+000  2,15808e+001  2,25524e-002  1,49912e+000  3,69583e+002  2,50000e+001  2,30650e+004  2,92761e+002  2,30668e+004  1,26929e-002  4,33488e-005  5,50222e-007  4,33523e-005
            30  3,12030e+001  2,86000e+002  4,60000e+001  9,95453e-001  2,14285e+001  2,41317e-002  1,49610e+000  3,69614e+002  2,50000e+001  2,30883e+004  3,01226e+002  2,30903e+004  1,30467e-002  4,33045e-005  5,64979e-007  4,33082e-005
            31  3,12131e+001  2,87000e+002  5,10000e+001  9,95011e-001  2,13892e+001  2,53400e-002  1,49215e+000  3,69721e+002  2,50000e+001  2,31159e+004  3,01014e+002  2,31178e+004  1,30220e-002  4,32530e-005  5,63239e-007  4,32567e-005
            32  3,12269e+001  2,89000e+002  5,60000e+001  1,00026e+000  2,14705e+001  2,63203e-002  1,48910e+000  3,69846e+002  2,50000e+001  2,31446e+004  2,95435e+002  2,31465e+004  1,27648e-002  4,31996e-005  5,51432e-007  4,32031e-005
