         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,69467e+001  2,10000e+001  9,99999e-001  5,20000e-001  3,91346e+001  4,66733e-002  3,10000e-001  2,01221e+002  2,50000e+001  6,50887e+003  3,04121e+002  6,51597e+003  4,67240e-002  1,53302e-004  7,16288e-006  1,53469e-004
             1  2,68722e+001  3,90000e+001  6,00000e+000  2,90392e-001  8,89334e+000  2,17384e-002  6,78750e-001  2,22466e+002  2,50000e+001  1,61444e+004  3,31762e+002  1,61478e+004  2,05496e-002  6,19147e-005  1,27232e-006  6,19278e-005
             2  2,67323e+001  5,70000e+001  1,10000e+001  3,30087e-001  7,52501e+000  1,64389e-002  9,24797e-001  2,32664e+002  2,50000e+001  2,17968e+004  3,04942e+002  2,17989e+004  1,39902e-002  4,58694e-005  6,41723e-007  4,58739e-005
             3  2,66807e+001  6,20000e+001  1,60000e+001  9,68846e-001  2,08260e+001  1,59893e-002  1,09055e+000  2,36753e+002  2,50000e+001  2,31424e+004  2,84392e+002  2,31442e+004  1,22888e-002  4,32042e-005  5,30927e-007  4,32074e-005
             4  2,67602e+001  7,40000e+001  2,10000e+001  9,87557e-001  2,05830e+001  1,62385e-002  1,18695e+000  2,39399e+002  2,50000e+001  2,38814e+004  2,69657e+002  2,38829e+004  1,12915e-002  4,18682e-005  4,72756e-007  4,18709e-005
             5  2,67929e+001  7,80000e+001  2,60000e+001  1,00795e+000  1,99547e+001  1,52522e-002  1,29669e+000  2,43352e+002  2,50000e+001  2,51679e+004  2,27387e+002  2,51689e+004  9,03480e-003  3,97299e-005  3,58952e-007  3,97316e-005
             6  2,67489e+001  8,70000e+001  3,10000e+001  1,01383e+000  1,98401e+001  1,77273e-002  1,38320e+000  2,45934e+002  2,50000e+001  2,54639e+004  2,62457e+002  2,54653e+004  1,03070e-002  3,92671e-005  4,04726e-007  3,92692e-005
             7  2,67964e+001  9,00000e+001  3,60000e+001  1,00700e+000  1,99612e+001  1,95818e-002  1,44126e+000  2,46633e+002  2,50000e+001  2,51275e+004  2,74874e+002  2,51290e+004  1,09392e-002  3,97923e-005  4,35295e-007  3,97947e-005
             8  2,68824e+001  9,80000e+001  4,10000e+001  1,00372e+000  2,00142e+001  2,10637e-002  1,48426e+000  2,46664e+002  2,50000e+001  2,49713e+004  2,79480e+002  2,49729e+004  1,11920e-002  4,00409e-005  4,48139e-007  4,00434e-005
             9  2,69095e+001  1,01000e+002  4,60000e+001  1,00661e+000  2,01587e+001  2,24876e-002  1,49553e+000  2,46566e+002  2,50000e+001  2,48564e+004  2,83017e+002  2,48580e+004  1,13861e-002  4,02259e-005  4,58017e-007  4,02285e-005
            10  2,69760e+001  1,08000e+002  5,10000e+001  1,00108e+000  2,00906e+001  2,38658e-002  1,49381e+000  2,46453e+002  2,50000e+001  2,47965e+004  2,86006e+002  2,47982e+004  1,15341e-002  4,03229e-005  4,65089e-007  4,03256e-005
